frame,time_s,board_x,board_y,board_z,gun_x,gun_y,gun_z,state,collision_active,contact_force_n,tool_pressure,nails_installed,robot_label
117,3.9,-0.1,0.28,1.45,-1.1266666666666667,-0.865,1.2973333333333332,placing_board,1,0.0,0.0,0,AgiBot Genie G2
118,3.9333,-0.1,0.28,1.45,-1.1288888888888888,-0.8433333333333335,1.2937777777777777,placing_board,1,0.0,0.0,0,AgiBot Genie G2
119,3.9667,-0.1,0.28,1.45,-1.1311111111111112,-0.8216666666666665,1.2902222222222222,placing_board,1,0.0,0.0,0,AgiBot Genie G2
120,4.0,-0.1,0.28,1.45,-1.1333333333333333,-0.8,1.2866666666666666,placing_board,1,0.0,0.0,0,AgiBot Genie G2
121,4.0333,-0.1,0.28,1.45,-1.1355555555555554,-0.7783333333333335,1.283111111111111,placing_board,1,0.0,0.0,0,AgiBot Genie G2
122,4.0667,-0.1,0.28,1.45,-1.1377777777777778,-0.7566666666666668,1.2795555555555556,placing_board,1,0.0,0.0,0,AgiBot Genie G2
123,4.1,-0.1,0.28,1.45,-1.14,-0.7350000000000003,1.276,placing_board,1,0.0,0.0,0,AgiBot Genie G2
124,4.1333,-0.1,0.28,1.45,-1.1422222222222222,-0.7133333333333329,1.2724444444444443,placing_board,1,0.0,0.0,0,AgiBot Genie G2
125,4.1667,-0.1,0.28,1.45,-1.1444444444444444,-0.6916666666666664,1.2688888888888887,placing_board,1,0.0,0.0,0,AgiBot Genie G2
126,4.2,-0.1,0.28,1.45,-1.1466666666666667,-0.6699999999999999,1.2653333333333332,placing_board,1,0.0,0.0,0,AgiBot Genie G2
127,4.2333,-0.1,0.28,1.45,-1.1488888888888888,-0.6483333333333332,1.2617777777777777,placing_board,1,0.0,0.0,0,AgiBot Genie G2
128,4.2667,-0.1,0.28,1.45,-1.1511111111111112,-0.6266666666666667,1.2582222222222221,placing_board,1,0.0,0.0,0,AgiBot Genie G2
129,4.3,-0.1,0.28,1.45,-1.1533333333333333,-0.605,1.2546666666666666,placing_board,1,0.0,0.0,0,AgiBot Genie G2
130,4.3333,-0.1,0.28,1.45,-1.1555555555555554,-0.5833333333333335,1.251111111111111,placing_board,1,0.0,0.0,0,AgiBot Genie G2
131,4.3667,-0.1,0.28,1.45,-1.1577777777777778,-0.561666666666667,1.2475555555555555,placing_board,1,0.0,0.0,0,AgiBot Genie G2
132,4.4,-0.1,0.28,1.45,-1.16,-0.5399999999999996,1.2439999999999998,placing_board,1,0.0,0.0,0,AgiBot Genie G2
133,4.4333,-0.1,0.28,1.45,-1.1622222222222223,-0.5183333333333331,1.2404444444444445,placing_board,1,0.0,0.0,0,AgiBot Genie G2
134,4.4667,-0.1,0.28,1.45,-1.1644444444444444,-0.49666666666666637,1.2368888888888887,placing_board,1,0.0,0.0,0,AgiBot Genie G2
135,4.5,-0.1,0.28,1.45,-1.1666666666666665,-0.47499999999999987,1.2333333333333334,placing_board,1,0.0,0.0,0,AgiBot Genie G2
136,4.5333,-0.1,0.28,1.45,-1.1688888888888889,-0.45333333333333337,1.2297777777777776,placing_board,1,0.0,0.0,0,AgiBot Genie G2
137,4.5667,-0.1,0.28,1.45,-1.171111111111111,-0.43166666666666664,1.226222222222222,placing_board,1,0.0,0.0,0,AgiBot Genie G2
138,4.6,-0.1,0.28,1.45,-1.1733333333333333,-0.41000000000000014,1.2226666666666666,placing_board,1,0.0,0.0,0,AgiBot Genie G2
139,4.6333,-0.1,0.28,1.45,-1.1755555555555555,-0.388333333333333,1.219111111111111,placing_board,1,0.0,0.0,0,AgiBot Genie G2
