frame,time_s,phase,board_x,board_y,board_z,gun_x,gun_y,gun_z,nozzle_x,nozzle_y,nozzle_z,robot_x,robot_y,robot_z,ground_target_x,ground_target_y,ground_column_index,ground_row,robot_yaw_deg,active_fastener_index,state,arm_pose,collision_active,contact_force_n,tool_pressure,nails_installed,board_grasped,tool_grasped,nailing_reference_time_s,nailing_reference_frame,robot_label
30,1.0,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.95,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
31,1.0333,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.947500925925926,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
32,1.0667,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9450074074074073,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
33,1.1,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.942525,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
34,1.1333,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.940059259259259,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
35,1.1667,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.937615740740741,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
36,1.2,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9352,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
37,1.2333,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9328175925925923,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
38,1.2667,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9304740740740742,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
39,1.3,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.928175,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
