frame,time_s,board_x,board_y,board_z,gun_x,gun_y,gun_z,state,collision_active,contact_force_n,tool_pressure,nails_installed
45,1.5,-0.8250000000000002,-0.8599999999999999,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
46,1.5333,-0.7766666666666664,-0.821333333333333,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
47,1.5667,-0.7283333333333335,-0.7826666666666666,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
48,1.6,-0.6800000000000002,-0.7439999999999998,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
49,1.6333,-0.6316666666666668,-0.7053333333333331,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
50,1.6667,-0.5833333333333335,-0.6666666666666665,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
51,1.7,-0.5350000000000001,-0.6279999999999999,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
52,1.7333,-0.4866666666666668,-0.5893333333333333,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
53,1.7667,-0.43833333333333346,-0.5506666666666664,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
54,1.8,-0.3900000000000001,-0.5119999999999996,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
55,1.8333,-0.3416666666666668,-0.47333333333333316,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
56,1.8667,-0.29333333333333345,-0.4346666666666663,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
57,1.9,-0.2450000000000001,-0.3959999999999999,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
58,1.9333,-0.19666666666666677,-0.35733333333333306,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
59,1.9667,-0.14833333333333343,-0.31866666666666665,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
