frame,time_s,board_x,board_y,board_z,gun_x,gun_y,gun_z,nozzle_x,nozzle_y,nozzle_z,robot_x,robot_y,robot_z,ground_target_x,ground_target_y,ground_column_index,ground_row,robot_yaw_deg,active_fastener_index,state,arm_pose,collision_active,contact_force_n,tool_pressure,nails_installed,tool_grasped,robot_label
39,1.3,-0.1,0.28,1.45,-1.888606413994169,-2.465465189504373,1.59,-1.888606413994169,-2.305465189504373,1.34,-2.488606413994169,-2.1654651895043733,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
40,1.3333,-0.1,0.28,1.45,-1.8751970629521648,-2.429528128711802,1.59,-1.8751970629521648,-2.269528128711802,1.34,-2.475197062952165,-2.129528128711802,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
41,1.3667,-0.1,0.28,1.45,-1.861658136270381,-2.393243805204621,1.59,-1.861658136270381,-2.233243805204621,1.34,-2.461658136270381,-2.0932438052046214,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
42,1.4,-0.1,0.28,1.45,-1.8479999999999999,-2.3566399999999996,1.59,-1.8479999999999999,-2.1966399999999995,1.34,-2.448,-2.05664,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
43,1.4333,-0.1,0.28,1.45,-1.8342330201922037,-2.319744494115106,1.59,-1.8342330201922037,-2.159744494115106,1.34,-2.434233020192204,-2.0197444941151064,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
44,1.4667,-0.1,0.28,1.45,-1.8203675628981748,-2.2825850685671094,1.59,-1.8203675628981748,-2.1225850685671093,1.34,-2.420367562898175,-1.9825850685671094,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
45,1.5,-0.1,0.28,1.45,-1.806413994169096,-2.2451895043731778,1.59,-1.806413994169096,-2.0851895043731776,1.34,-2.406413994169096,-1.945189504373178,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
46,1.5333,-0.1,0.28,1.45,-1.792382680056149,-2.20758558255048,1.59,-1.792382680056149,-2.04758558255048,1.34,-2.392382680056149,-1.9075855825504802,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
47,1.5667,-0.1,0.28,1.45,-1.778283986610517,-2.1698010841161857,1.59,-1.778283986610517,-2.0098010841161855,1.34,-2.378283986610517,-1.8698010841161858,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
48,1.6,-0.1,0.28,1.45,-1.7641282798833817,-2.1318637900874635,1.59,-1.7641282798833817,-1.9718637900874636,1.34,-2.364128279883382,-1.8318637900874635,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
49,1.6333,-0.1,0.28,1.45,-1.7499259259259259,-2.0938014814814814,1.59,-1.7499259259259259,-1.9338014814814815,1.34,-2.349925925925926,-1.7938014814814813,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
50,1.6667,-0.1,0.28,1.45,-1.7356872907893313,-2.0556419393154086,1.59,-1.7356872907893313,-1.8956419393154087,1.34,-2.3356872907893313,-1.7556419393154086,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
51,1.7,-0.1,0.28,1.45,-1.721422740524781,-2.0174129446064137,1.59,-1.721422740524781,-1.8574129446064138,1.34,-2.321422740524781,-1.717412944606414,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
52,1.7333,-0.1,0.28,1.45,-1.7071426411834572,-1.979142278371666,1.59,-1.7071426411834572,-1.819142278371666,1.34,-2.3071426411834572,-1.6791422783716659,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
53,1.7667,-0.1,0.28,1.45,-1.6928573588165423,-1.9408577216283338,1.59,-1.6928573588165423,-1.780857721628334,1.34,-2.2928573588165424,-1.6408577216283338,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
54,1.8,-0.1,0.28,1.45,-1.6785772594752184,-1.9025870553935857,1.59,-1.6785772594752184,-1.7425870553935858,1.34,-2.2785772594752185,-1.6025870553935857,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
55,1.8333,-0.1,0.28,1.45,-1.6643127092106682,-1.864358060684591,1.59,-1.6643127092106682,-1.7043580606845912,1.34,-2.2643127092106683,-1.564358060684591,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
56,1.8667,-0.1,0.28,1.45,-1.6500740740740736,-1.8261985185185186,1.59,-1.6500740740740736,-1.6661985185185186,1.34,-2.2500740740740737,-1.5261985185185185,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
